0 | 34 16 21 42 43 26 11 29 
1 | 6 37 43 46 
2 | 35 49 18 38 6 24 27 
3 | 32 48 5 14 
4 | 16 18 39 25 47 30 
5 | 16 3 20 7 27 46 12 47 13 
6 | 1 2 21 25 8 9 26 46 12 
7 | 49 5 37 25 43 26 45 
8 | 34 17 49 6 22 47 14 45 15 
9 | 32 6 22 40 12 13 
10 | 42 24 26 47 14 
11 | 0 49 18 36 25 24 41 29 13 14 
12 | 32 48 33 18 5 6 43 9 26 28 31 
13 | 5 9 11 
14 | 16 3 37 8 27 10 11 29 
15 | 16 20 8 43 46 45 
17 | 18 8 27 47 
16 | 0 32 38 4 39 5 43 14 15 
19 | 20 46 
18 | 17 2 4 27 11 29 12 30 
21 | 0 6 37 25 29 30 
20 | 35 49 19 5 36 27 15 
23 | 49 37 24 27 41 26 31 
22 | 8 9 31 
25 | 21 4 6 7 43 24 27 26 11 46 29 47 
24 | 34 2 33 39 23 25 10 11 
27 | 17 2 18 20 5 23 25 28 14 30 
26 | 0 32 23 6 37 7 25 10 12 
29 | 34 0 18 21 42 25 43 11 14 30 
28 | 42 40 27 12 
31 | 49 39 23 22 12 
30 | 18 21 4 42 43 27 29 
34 | 0 8 24 29 45 
35 | 2 20 
32 | 16 49 3 9 26 12 
33 | 48 24 41 12 
38 | 16 49 2 39 36 40 44 
39 | 16 38 4 43 24 47 31 
36 | 38 20 11 
37 | 1 49 48 21 23 7 41 26 46 14 45 
42 | 0 10 29 47 28 30 
43 | 0 16 1 39 7 25 29 12 30 15 
40 | 49 48 38 9 47 28 44 
41 | 33 23 37 11 
46 | 1 19 5 6 37 25 15 
47 | 17 4 39 5 42 25 8 40 10 
44 | 38 40 
45 | 34 37 7 8 15 
49 | 32 2 48 38 20 23 37 7 8 40 11 31 
48 | 49 33 3 37 40 12 
