0	0,29-0,34-0,11-0,42-0,16-0,11-0,26-0,42-0,43-0,11-0,21-0,11-0,26-0,21-0,26
1	1,46-1,37-1,6-1,37-1,37-1,46-1,43-1,43-1,43-1,43-1,37-1,43-1,6-1,37-1,37
10	10,26-10,26-10,14-10,14-10,24-10,42-10,42-10,26-10,26-10,24-10,42-10,24-10,26-10,26-10,24
11	11,13-11,24-11,29-11,41-11,36-11,36-11,41-11,13-11,41-11,25-11,0-11,24-11,13-11,13-11,13
12	12,33-12,31-12,32-12,26-12,31-12,28-12,18-12,43-12,5-12,32-12,26-12,26-12,48-12,33-12,32
13	13,9-13,5-13,5-13,9-13,5-13,11-13,9-13,11-13,11-13,11-13,11-13,9-13,5-13,11-13,9
14	14,37-14,10-14,3-14,8-14,16-14,37-14,16-14,37-14,3-14,16-14,16-14,10-14,27-14,8-14,27
15	15,20-15,20-15,8-15,20-15,20-15,45-15,20-15,16-15,16-15,8-15,16-15,46-15,20-15,8-15,45
16	16,39-16,15-16,38-16,39-16,14-16,4-16,0-16,43-16,39-16,0-16,32-16,0-16,4-16,39-16,5
17	17,47-17,8-17,8-17,18-17,47-17,18-17,47-17,27-17,18-17,8-17,47-17,8-17,47-17,18-17,18
18	18,27-18,17-18,30-18,30-18,29-18,12-18,11-18,11-18,2-18,27-18,12-18,29-18,30-18,29-18,30
19	19,20-19,46-19,20-19,46-19,46-19,46-19,46-19,20-19,20-19,20-19,46-19,46-19,46-19,46-19,46
2	2,49-2,18-2,6-2,6-2,6-2,35-2,35-2,38-2,6-2,38-2,18-2,18-2,38-2,27-2,18
20	20,36-20,27-20,49-20,19-20,15-20,35-20,15-20,15-20,19-20,19-20,15-20,15-20,5-20,5-20,15
21	21,37-21,29-21,0-21,30-21,25-21,37-21,29-21,0-21,30-21,0-21,25-21,0-21,25-21,25-21,30
22	22,9-22,9-22,9-22,8-22,8-22,9-22,9-22,9-22,9-22,31-22,8-22,9-22,8-22,31-22,31
23	23,37-23,26-23,37-23,24-23,26-23,37-23,24-23,41-23,27-23,37-23,26-23,31-23,31-23,26-23,41
24	24,33-24,11-24,39-24,25-24,2-24,23-24,11-24,25-24,11-24,39-24,10-24,25-24,23-24,33-24,10
